sl,Area,Rainfall,Population,Groundwater,Temperature,Agricultural,Industrial,Residential
31,Aūa,1309.03,112071,18.17,27,15.36,20.98,54.97
32,Marugame,906.01,182980,44.93,29,47.19,6.49,50.19
33,Zhaolingpu,1688.04,184838,40.56,26,9.09,3.08,50.24
34,Darmasari,1721.86,115282,43.02,33,32.64,12.03,70.48
35,Naikolan,1400.06,122394,51.05,19,33.26,4.74,77.05
36,Stockholm,1172.13,85364,38.72,19,18.14,11.53,74.51
37,Zhoutian,1390.81,229273,35.7,35,16.53,23.73,65.06
38,Calvário,1910.42,56326,45.69,24,38.7,5.55,67.11
39,Além Paraíba,1950.13,150932,37.69,22,44.69,12.61,72.22
40,Kuangsan,1662.97,160063,56.98,31,14.23,16.4,71.68
41,Wanbu,1958.06,224625,49.23,25,33.73,8.28,69.71
42,Houston,1208.73,173581,43.55,26,35.28,13.76,61.14
43,Changping,1870.87,193102,49.83,20,4.5,2.37,85.37
44,Kunów,917.22,57422,30.64,34,2.82,17.75,62.6
45,Várzea,1815.43,174124,21.54,19,36.72,19.7,80.47
46,Hawassa,1132.14,124546,58.0,21,42.29,23.53,53.33
47,Yunchi,1720.7,215663,40.58,36,43.98,2.45,55.02
48,Tanjiaqiao,854.58,235108,27.03,23,6.43,7.17,61.91
49,Muzayri‘,1286.51,209781,55.09,33,35.57,23.51,80.86
50,Bashtanka,1379.23,85120,39.79,21,45.97,1.88,85.97
51,Hai Riêng,972.6,110876,30.8,40,48.86,12.9,85.06
52,Chengnan,1436.66,111346,59.74,22,9.29,7.41,62.13
53,Wulan Haye,753.58,91433,31.4,23,46.61,15.3,89.04
54,Niort,1737.21,223380,15.44,33,22.67,11.55,62.97
55,Uddevalla,1638.8,239986,36.26,30,2.64,23.06,84.61
56,Lagoa da Prata,859.15,115247,18.32,29,7.77,17.91,66.31
57,Wangcheng,1083.7,178932,43.05,32,27.0,22.34,69.08
58,Walichnowy,1064.79,116698,41.58,23,19.56,22.32,85.61
59,Shishan,1081.06,153054,42.07,23,15.7,5.71,59.19
60,Yacuíba,1475.36,70633,20.25,37,49.36,9.25,61.17
61,Aucallama,1911.4,169180,42.35,29,42.67,20.63,54.21
62,Villa Carlos Paz,1298.65,191573,55.83,39,34.09,24.63,71.33
63,Belsk Duży,1563.65,140973,58.4,19,31.51,13.86,79.75
64,Saint Louis,939.82,75912,45.11,25,33.17,10.03,74.04
65,Ejidal,1383.04,69532,38.16,25,43.11,7.64,71.95
66,Xudat,1506.08,85166,40.62,19,46.39,2.27,81.9
67,La Sarrosa,1691.43,188553,17.21,23,27.45,8.75,50.67
68,Stronie,1727.92,228724,27.71,32,23.3,16.54,83.98
69,Pangkungparuk,834.28,217899,46.88,39,17.85,3.17,62.34
70,Samoljica,1507.65,216909,45.92,22,22.86,15.5,61.01
71,Mavingouni,1881.27,113685,34.11,29,48.06,12.96,65.84
72,Pandean,1926.1,96767,35.44,39,18.83,9.48,77.9
73,Warungawi,1046.98,53164,58.72,31,44.07,20.96,87.12
74,Carlton,1185.73,222015,36.85,37,23.52,23.99,71.55
75,Outeiro Seco,1336.97,170164,41.95,22,8.12,14.63,58.8
76,Mpophomeni,763.99,75961,15.21,30,43.61,14.5,69.28
77,Lom Sak,775.32,113057,22.11,32,29.0,24.42,76.19
78,Pjanići,1281.18,185944,27.79,18,28.17,2.23,79.1
79,Duy Xuyên,794.06,248276,31.55,30,30.29,21.97,52.73
80,Khánh Hải,1857.15,209675,31.44,23,14.83,1.77,62.77
81,Panggungwinong,1270.68,176483,15.53,28,23.58,8.17,54.06
82,Fengshan,1683.03,162795,49.58,36,5.44,21.54,56.41
83,Bergen,1002.76,240213,49.89,40,1.03,16.2,70.48
84,Roma,1050.67,129451,30.66,33,4.03,9.94,71.44
85,Stonewall,1349.5,232026,40.87,22,4.79,7.61,84.79
86,Xinhe,1520.75,54839,24.16,23,45.89,18.22,80.36
87,Lewolere,1916.7,116087,41.83,38,5.38,15.2,63.03
88,Jardin,1754.96,213110,31.37,39,22.56,14.3,53.84
89,Kultayevo,1104.98,206345,17.59,21,26.93,20.06,60.86
90,Guaíba,910.27,171094,35.18,20,45.5,22.53,60.37
91,Biyong,1075.69,138801,23.47,23,47.24,12.38,79.5
92,Houston,1097.09,154155,44.94,28,38.6,6.87,73.64
93,Paine,1579.49,180335,45.61,38,1.65,10.78,59.62
94,Khao Wong,891.94,231162,23.02,28,2.05,13.22,84.89
95,Xinquan,815.57,139053,20.3,21,32.68,13.3,54.42
96,Acharnés,1905.59,77059,42.74,35,27.87,23.56,77.21
97,Nakusp,956.13,91358,23.17,20,4.86,16.23,75.41
98,Longtang,755.05,136065,26.13,36,37.06,14.01,79.05
99,Tuanalepe,1374.52,245207,29.81,25,43.02,15.49,56.94
100,Junzhuang,1257.02,191476,56.75,26,12.44,15.6,59.1
101,Huangbao,723.75,249176,22.12,21,37.75,19.87,74.01
102,San Isidro,1668.96,103532,16.02,29,15.65,2.23,63.68
103,Chaowai,1232.85,184710,24.9,21,22.7,21.15,62.1
104,Pinglin,1974.77,135448,24.99,23,26.29,7.05,64.56
105,Yuanbao,1583.0,120388,33.78,34,17.09,9.51,63.16
106,Huangzhawan,1583.56,127203,19.72,31,1.67,13.52,74.08
107,Xuanhuadian,1262.1,54379,56.86,19,6.9,9.94,79.49
108,Banjarjo,1001.52,99831,43.56,30,33.65,8.78,78.3
109,Qianzhou,1341.56,53721,44.83,23,14.59,3.62,60.16
110,Reims,1342.61,88025,50.23,31,42.76,19.31,69.83
111,Belyayevka,1830.1,228705,52.71,21,18.29,6.73,77.4
112,Ekasapta,1221.58,53924,49.45,30,8.65,9.93,60.34
113,Wakayama-shi,852.86,200253,57.0,31,6.78,10.85,89.56
114,San Agustín,1873.36,206760,52.27,22,37.52,4.66,78.23
115,Mashizhai,1088.16,201766,22.38,35,5.52,21.53,79.16
116,Vaiamonte,1081.25,167643,49.74,35,18.19,21.32,55.2
117,Tonoshō,1310.09,128293,43.81,38,33.59,15.53,69.31
118,Kostinbrod,1453.63,57568,18.89,35,7.62,22.54,85.91
119,Shkodër,1063.23,73896,54.79,20,14.9,16.45,61.56
120,Shipaidong,1618.41,67218,43.88,33,24.92,18.44,89.25
121,Datan,757.51,144760,50.9,36,13.2,8.0,54.07
122,Ngaliyan,1697.63,178966,22.35,26,25.91,12.14,72.45
123,Majia,988.95,116784,46.4,23,4.59,18.09,54.13
124,Real,1654.89,80517,36.04,28,18.32,1.16,79.92
125,Palmeiros,783.76,94489,42.24,28,24.76,22.52,64.17
126,Ciparasi,1586.66,83324,44.89,29,42.04,11.48,66.65
127,Orvault,1762.86,85007,43.91,22,38.81,17.36,59.51
128,Trakan Phut Phon,1823.02,216166,23.66,25,44.43,21.81,57.07
129,Dolní Čermná,880.85,200400,51.58,40,15.11,21.03,63.87
130,Montgomery,1238.18,248329,21.14,39,38.93,12.08,60.33
131,Petit Valley,1082.79,89642,55.15,30,3.3,2.88,67.62
132,Thymianá,1350.66,76484,49.56,24,45.89,13.69,80.75
133,Cajuru,1604.31,66515,57.23,40,26.35,1.23,73.81
134,Tomaszów Mazowiecki,964.03,157913,43.39,18,22.63,23.68,89.19
135,Lorraine,831.63,187517,49.68,25,14.66,9.21,73.45
136,Radenković,882.69,182409,40.86,37,26.91,10.7,84.43
137,Ḥurfeish,1553.66,111169,16.45,28,30.75,21.32,82.76
138,Lilla Edet,1915.14,179430,51.87,21,16.2,21.59,89.16
139,Évodoula,735.55,121235,24.11,30,31.17,1.36,67.61
140,Comandante Luis Piedra Buena,1600.97,108338,27.87,33,28.72,14.34,74.56
141,Kotabunan,1428.27,61644,45.47,27,16.74,21.48,75.42
142,Niono,1553.42,76238,51.89,36,10.26,9.26,56.22
143,São Domingos,1239.65,245562,22.26,29,10.96,18.5,78.47
144,Arcos,834.74,202608,36.81,24,46.52,14.21,71.56
145,Grand Forks,1232.33,104508,35.06,22,22.89,10.43,54.07
146,Orlu,1788.28,61157,24.79,38,11.36,6.54,56.48
147,San Pedro,775.09,230738,22.95,18,49.9,3.59,85.0
148,Guoduwan,970.72,197094,30.33,37,43.91,23.08,69.58
149,Dafeng,1445.35,138423,26.56,30,1.59,2.93,74.4
150,Sabang,1035.16,228760,45.63,22,43.6,14.73,55.43
151,Clifden,1085.16,169459,44.77,29,46.41,3.01,66.53
152,Tālīn,1216.51,221366,44.27,24,37.53,5.26,86.69
153,Tabivere,1659.77,155884,56.02,26,34.45,1.77,77.47
154,Anyang,769.38,58365,57.36,19,26.65,17.5,81.46
155,Cuozheqiangma,1295.09,87302,20.63,22,33.06,5.12,67.0
156,Aseri,1692.78,156045,23.6,32,26.07,23.05,54.28
157,Kitwe,944.2,150520,18.63,35,25.88,11.53,84.79
158,Kochetok,974.75,68146,23.02,39,37.01,20.85,76.13
159,Pedro Leopoldo,1964.67,219521,27.44,27,32.37,24.45,63.85
160,Shuigou,1634.69,101745,37.33,31,17.86,19.14,75.12
161,Tavira,1301.7,218123,41.87,29,6.2,6.58,72.91
162,Yulong,1134.77,182684,28.7,40,5.09,10.1,63.27
163,Nauchnyy Gorodok,1162.7,134918,28.94,37,40.25,5.98,54.25
164,Polazna,1005.86,241976,55.69,31,38.58,10.39,62.03
165,Heshui,1504.23,172548,44.66,27,40.07,23.26,62.26
166,Niños Heroes,1387.79,54271,37.18,28,9.95,11.36,65.5
167,Yiliu,1296.29,104212,19.05,20,16.9,13.94,62.9
168,Sankt Andrä-Höch,1703.32,126246,45.41,40,27.84,11.69,69.75
169,Qianzhou,1208.07,159486,22.39,25,28.07,18.11,53.0
170,Sawin,1590.01,234586,47.18,39,25.41,3.31,52.36
171,Kamwenge,1386.74,162691,33.59,38,43.82,9.76,58.18
172,Zwedru,1062.05,234608,34.67,28,44.5,24.05,76.73
173,Nangang,941.18,167080,51.96,34,44.17,6.07,80.74
174,Polel Diaoubé,1419.57,106972,51.09,38,43.48,12.96,71.77
175,Henggang,863.87,245636,36.69,18,37.7,21.69,61.54
176,Waiwukak,868.86,152875,22.96,25,11.87,17.87,79.65
177,Mantalongon,1513.49,57212,46.24,31,14.28,20.22,76.1
178,Montpellier,1214.79,70030,46.35,24,28.68,4.62,75.94
179,Oemofa,749.89,157124,45.64,38,24.29,16.04,63.97
180,San Juan Opico,1435.05,115470,20.28,19,41.81,23.99,51.3
181,Zhaobaoshan,1675.53,171287,44.45,32,34.72,18.18,52.01
182,Wewit,784.9,169472,44.27,23,38.54,9.22,73.17
183,Eirunepé,1414.75,189406,56.37,19,47.15,18.9,80.82
184,Chenôve,1341.24,98397,56.4,18,17.32,24.26,55.1
185,Danxi,1666.4,181879,43.44,37,44.07,10.95,64.2
186,Ashibetsu,861.78,186564,23.39,21,6.52,4.64,71.45
187,Currais,1907.01,234658,32.49,35,9.81,17.46,74.57
188,Haoshui,1780.54,151643,19.56,21,19.18,8.11,86.44
189,San Isidro,998.14,186479,23.31,29,44.52,9.06,72.06
190,Gogaran,1455.89,85272,25.17,26,46.94,21.79,67.49
191,Kedungsinggil,1718.93,152488,59.5,32,9.17,24.39,75.54
192,Nova Iguaçu,1510.36,81568,30.11,26,35.93,4.01,82.68
193,Yandian,1309.08,120278,19.13,36,32.84,5.42,79.56
194,East Migpulao,1679.75,103624,23.45,24,37.05,14.38,55.05
195,Dongping,1941.81,195924,27.21,37,48.58,17.39,79.32
196,Chaloem Phra Kiat,1336.22,119020,25.75,32,12.14,6.92,72.66
197,Concepción,1011.43,187204,44.06,40,37.35,20.95,87.34
198,Lityn,1998.88,51778,42.29,27,20.02,23.12,74.76
199,Padre Paraíso,1616.24,109655,22.74,40,17.66,18.43,88.52
200,Yang Chum Noi,861.9,228432,19.25,38,17.43,22.94,72.68
201,Banī Zayd,836.38,202040,50.45,28,46.37,24.89,78.31
202,Luxi,1774.79,107527,47.79,33,32.07,8.38,66.8
203,Patrocínio,1381.97,53693,41.49,27,26.6,24.92,64.96
204,Randuagung,1195.91,146839,56.12,40,5.04,12.19,72.78
205,Zasip,761.32,183930,26.33,19,28.87,10.25,69.97
206,Dingcheng,789.89,235631,35.51,38,44.86,22.13,77.85
207,Lalapanzi,1840.02,199031,28.4,40,20.71,5.38,58.79
208,Samashki,1677.01,72434,33.08,28,43.81,11.83,53.77
209,København,1477.23,50756,28.08,37,30.74,22.08,64.43
210,Mamedkala,1637.55,183478,50.23,38,4.78,7.75,81.21
211,Borucin,973.83,99204,38.01,40,40.17,9.53,68.47
212,Yueyang,706.59,163736,35.03,37,40.56,15.1,55.02
213,Muranovo,1758.34,242126,39.27,25,2.31,16.44,76.68
214,Nanyuan,1893.92,179687,53.44,31,9.78,24.21,60.11
215,Dalam,938.4,248015,57.43,21,19.21,1.36,63.36
216,Gar,1056.23,233365,15.5,37,5.54,14.85,86.1
217,Malibong East,1889.32,212818,19.12,19,20.39,19.77,74.85
218,Karangagung Timur,720.2,104403,46.15,18,33.2,3.61,80.17
219,Spanish Wells,1659.12,60494,26.37,29,34.13,3.05,87.52
220,Jianggang,1189.58,99885,54.4,34,1.97,11.26,68.63
221,Bongao,1903.19,146663,30.03,22,15.32,2.48,74.23
222,Pagsanahan Norte,1349.05,61404,45.46,34,29.0,20.95,89.93
223,Huanglian,1291.6,221797,32.42,21,8.97,3.06,55.09
224,Ostrów Lubelski,1276.79,76240,40.43,36,12.48,10.46,57.84
225,Gabrovo,1690.08,113429,32.28,26,7.97,18.21,57.77
226,Mayisyan,948.61,214407,51.94,38,17.89,6.3,80.05
227,Donghoufang,1950.56,61739,53.21,27,23.04,18.04,71.95
228,Makrychóri,1292.41,229724,55.1,20,14.52,17.08,55.09
229,Pyhäntä,982.17,141655,48.2,19,15.14,11.78,74.52
230,Höllviken,1037.77,218473,47.72,38,20.25,22.48,72.4
231,Västerås,1888.38,244822,33.77,33,14.96,4.79,50.25
232,Altona,1232.52,164663,32.11,27,33.65,9.46,51.6
233,Xuetian,1108.46,247367,17.0,34,14.02,15.12,69.36
234,Mixco,1373.44,197576,25.25,21,8.71,1.32,72.67
235,Columbia,822.74,139618,53.05,38,30.87,8.56,56.49
236,Oslo,1303.4,139277,26.55,18,22.85,5.37,79.0
237,Bochum,1325.64,139979,24.35,37,47.59,11.8,60.75
238,Luodian,1628.1,249490,20.89,35,3.07,9.1,70.13
239,São Joaquim da Barra,897.97,230572,24.64,22,39.31,1.57,69.53
240,Denpasar,1682.32,96348,31.98,21,23.23,2.88,57.92
241,Sergiyev Posad,1360.5,76410,17.59,37,24.2,4.15,84.05
242,La Esperanza,1654.58,88663,25.47,40,36.92,6.98,69.62
243,Bayan Huxu,1642.89,127298,15.08,28,41.69,24.38,54.08
244,Sanjia,1736.02,134765,53.28,30,38.66,13.38,70.65
245,Huacheng,888.72,68582,42.07,38,26.72,5.42,56.52
246,Nueve de Julio,1733.31,244068,50.4,36,29.02,2.58,56.9
247,Houjiachuan,1885.67,234626,34.03,38,49.81,13.54,68.7
248,Krajan Bakalan,1786.91,52663,46.89,22,18.32,22.47,75.57
249,Gorzyce,860.33,227364,44.87,30,29.7,14.16,64.67
250,Muzambinho,1906.69,109738,27.73,30,43.12,7.04,73.82
251,Uspenka,1377.58,102896,21.07,40,28.4,1.37,84.0
252,Huanglong,1839.27,182153,49.05,26,40.24,8.25,58.06
253,Akhmīm,1984.69,155655,55.69,30,37.02,15.65,61.04
254,Afanas’yeva,1263.79,149458,31.75,40,6.58,7.58,84.77
255,Tvøroyri,1052.97,229368,39.86,20,46.38,11.71,78.09
256,Sovetskoye,1762.5,129782,45.07,31,33.73,16.5,73.18
257,Tukbur,1071.21,224566,48.89,27,35.01,1.45,88.03
258,Valdosta,883.09,234569,29.87,18,29.96,8.94,80.83
259,Kedungwringin Satu,761.55,242695,15.09,19,21.01,20.84,66.55
260,Yanzhao,1191.9,240012,31.93,29,3.4,12.06,78.99
261,Sunampe,732.0,217617,54.33,40,20.29,24.03,72.11
262,Aourir,763.79,246479,43.22,34,7.83,10.93,54.75
263,Ponta Grossa,1555.95,217839,36.32,19,2.35,14.62,85.17
264,Minneapolis,1300.7,248391,52.4,39,12.15,11.85,72.09
265,Lipno,732.5,237192,59.15,39,25.18,14.85,56.72
266,Nagorsk,1502.98,108768,38.04,36,35.26,5.85,53.54
267,Santa Cruz,1379.27,219699,36.45,18,17.75,5.88,81.77
268,Wąsosz,1337.41,210235,49.6,30,45.38,6.37,81.1
269,Muzaffargarh,1034.68,216047,56.57,36,29.68,22.54,63.83
270,Dayr Sharaf,1714.64,248064,51.91,35,36.52,22.19,81.76
271,Nevinnomyssk,769.91,197709,38.8,31,33.83,14.31,56.6
272,Chinú,1980.27,206757,35.1,33,10.65,2.73,57.96
273,Alilem,1711.34,207022,38.82,33,11.97,19.85,54.83
274,Tīkāpur,1027.18,159441,44.91,24,46.5,11.7,65.92
275,Rios Frios,1350.71,86941,57.48,23,30.21,13.99,70.95
276,Hexia,1190.35,77509,55.2,40,13.96,15.07,81.93
277,Novobiryusinskiy,895.6,101771,28.7,40,8.33,1.83,72.79
278,Sembabule,1337.07,167672,48.36,32,20.23,13.84,58.41
279,Andou,962.32,206633,19.46,32,37.23,22.19,66.16
280,Daejeon,1583.9,153162,52.63,26,34.07,22.0,67.73
281,Dimitrovgrad,1589.82,241477,30.52,35,5.82,5.24,70.4
282,Dagda,1037.18,121104,39.53,30,17.12,20.34,87.91
283,Balakliya,1526.87,76422,21.4,30,26.54,13.21,85.17
284,Barra dos Coqueiros,1269.38,249346,37.06,35,15.54,20.24,85.6
285,Niños Heroes,1180.38,177757,28.67,35,3.69,16.93,63.98
286,Dubreuil,1707.66,144816,48.27,27,10.81,18.65,82.89
287,San Juan,932.79,224193,27.53,34,9.49,20.57,62.64
288,Gelatik,1996.69,191545,40.41,31,6.44,16.17,71.54
289,Mabugang,1690.38,162067,50.1,39,46.23,7.73,67.91
290,Kurume,1532.61,224540,55.35,21,19.06,3.79,67.44
291,Đình Lập,972.31,207970,41.0,37,24.77,2.82,80.36
292,Growong Lor,1436.4,237593,34.15,33,5.93,16.49,69.61
293,Tanxi,915.73,110072,43.99,33,18.99,13.22,74.5
294,Frankfort,748.64,88465,16.18,36,11.02,21.09,78.17
295,Makariv,942.21,234363,40.64,18,18.93,4.45,64.86
296,São Mamede,1575.62,172402,42.41,26,14.26,17.47,53.73
297,Tsimkavichy,1296.5,185690,24.13,40,7.83,9.63,80.6
298,Pagsabangan,1391.11,218007,21.12,18,13.53,10.43,66.14
299,Ulee Gle,880.12,92928,48.45,20,8.18,3.3,55.28
300,Midrand,1904.07,164121,41.11,38,10.09,6.99,58.97
301,Huya,1393.38,84124,22.17,26,23.81,11.76,77.96
302,Złocieniec,1446.44,141015,15.33,30,33.81,2.94,89.59
303,Vicuña Mackenna,1854.47,196967,15.82,19,49.73,13.84,74.4
304,Quartier Morin,1231.04,105909,36.17,24,6.72,9.08,68.76
305,Kaesŏng,1919.77,123207,39.74,34,4.4,13.65,61.0
306,Xiling,1434.13,64244,51.95,29,21.07,13.5,88.38
307,Šmartno pri Litiji,892.62,239480,34.21,24,47.27,6.19,86.05
308,Registro,1690.44,194486,39.01,34,29.49,16.23,78.51
309,Fort Myers,993.3,63380,49.02,18,13.77,12.61,83.06
310,Shima,725.47,74100,35.26,22,15.38,2.36,54.66
311,Shebekino,1693.29,127502,42.23,33,41.57,10.97,55.46
312,Peixing,911.18,230228,56.57,34,44.33,18.97,68.44
313,Lingbei,1470.96,207084,55.39,29,33.36,4.11,61.36
314,Calaoagan,1511.2,144064,31.23,32,9.94,6.0,68.64
315,Saint Hubert,875.65,139642,55.0,20,47.72,13.37,55.54
316,Jinquan,1278.36,138255,32.73,31,30.91,15.6,72.35
317,La Paz de Oriente,1465.49,122970,35.49,33,45.7,14.46,68.96
318,Partille,1549.22,207797,22.03,35,18.64,13.82,61.3
319,Xianshuigu,1790.02,218873,20.36,23,18.78,19.85,50.32
320,Grzybowa Góra,1037.06,119638,44.79,18,40.09,8.91,56.29
321,Amirdzhan,1138.23,242095,53.73,19,27.94,22.72,89.62
322,Banatska Topola,1022.07,154563,57.56,37,2.32,1.2,60.7
323,Bodø,1371.88,178737,56.41,33,10.27,20.82,70.5
324,Yudong,1492.69,83674,32.04,39,39.7,1.82,53.89
325,Trujillo,1569.56,133259,17.42,24,7.97,20.72,74.15
326,Nybro,1037.83,112953,56.9,19,42.01,6.17,85.19
327,Dapchi,1775.76,96404,57.85,32,21.18,8.4,57.95
328,Estefania,869.65,101573,47.2,37,47.93,7.95,73.53
329,Kapuan,1925.21,186618,22.9,31,33.94,1.1,79.7
330,Daidaon,880.72,108083,20.6,31,23.63,9.75,65.49
331,Babao,1992.16,246884,56.77,40,21.16,2.06,50.58
332,Namerikawa,885.6,50176,54.99,40,36.81,11.34,82.41
333,Daye,1107.95,59111,34.14,32,17.84,1.48,76.91
334,Kamojimachō-jōgejima,863.93,77672,58.38,38,43.72,17.99,51.07
335,Moulins,763.74,227448,18.71,22,41.88,14.72,62.54
336,Novotitarovskaya,772.78,99127,24.1,22,36.7,18.32,50.87
337,Sambongpari,1318.7,211062,42.7,37,25.14,15.6,53.65
338,Lille,1828.07,231967,16.8,40,1.2,21.48,54.62
339,Halamendu,1231.32,226582,24.68,31,13.57,15.88,79.33
340,Antipolo,1043.24,239838,42.95,23,7.59,3.46,56.01
341,Ban Tak,1043.48,227808,53.91,18,23.66,23.87,61.71
342,Xarardheere,1007.11,119524,38.4,27,28.3,5.53,75.4
343,Hou’an,1840.8,72029,26.45,19,48.09,16.81,51.21
344,Kluczbork,1617.1,108172,46.67,33,36.9,17.74,75.58
345,San Vicente de Moravia,1110.91,108031,41.77,20,28.01,18.34,58.71
346,Zhangdiyingzi,1318.82,147382,56.27,24,27.96,2.87,82.06
347,Shengrenjian,1405.37,225663,47.58,30,4.69,2.65,85.23
348,Nanpiao,1297.31,168084,33.96,31,15.39,15.39,63.24
349,Nesterov,1144.1,177636,47.63,33,34.41,16.45,73.47
350,El Regalo,1061.06,225236,52.92,22,14.47,3.46,60.07
351,Al Jawādīyah,1025.0,225691,33.72,23,4.97,7.88,84.78
352,Farkhah,1607.8,172878,53.15,32,18.75,24.62,80.48
353,Brades,1421.27,245349,29.56,25,13.56,1.21,75.28
354,Mestre,1196.97,101364,18.21,28,40.0,1.62,89.28
355,Itaporanga,1737.91,64263,52.19,19,46.76,20.87,50.32
356,Yinji,988.27,123072,44.47,38,3.95,17.85,62.57
357,Youludu Sibage,1098.49,194992,27.23,36,46.18,8.45,51.19
358,Santa Cruz de Yojoa,1306.47,122682,23.59,20,3.8,22.03,66.89
359,Ḩalḩūl,916.93,220839,25.27,19,49.6,5.48,84.77
360,Soure,1290.22,139954,59.04,31,25.2,12.78,66.25
361,Humaitá,864.23,100691,29.55,25,30.03,12.01,50.27
362,Apartadó,711.11,113735,39.51,29,28.94,15.62,83.75
363,Kayukembang,1404.6,218786,25.11,32,5.74,12.85,56.94
364,Bayt ‘Anān,845.88,109814,33.55,18,43.04,18.58,74.06
365,Litvínovice,997.07,58119,15.29,39,21.52,8.7,52.92
366,Qingxi,1881.99,129421,48.71,36,47.98,9.7,66.36
367,Delgado,1466.36,168916,52.49,30,20.56,24.26,86.16
368,Red Hill,911.67,212295,54.82,24,22.94,9.44,68.9
369,Liuzhou,1271.37,161675,56.69,39,8.31,6.5,86.14
370,Shnogh,1330.63,188009,45.28,40,7.04,22.04,59.97
371,Quisao,1375.99,93402,21.48,19,13.94,8.69,59.39
372,Lugui,1874.14,171291,21.63,39,4.29,17.71,84.47
373,Viraco,1073.9,54315,53.45,21,17.84,2.37,87.36
374,Lianga,792.31,126054,59.5,31,46.0,20.59,79.81
375,New Washington,1782.38,199296,38.84,21,15.98,17.53,70.47
376,Banjar Cemenggon,1695.69,174086,49.78,38,34.74,23.7,86.67
377,Uyovu,1755.55,151978,36.77,21,25.99,9.92,73.26
378,Jendouba,1391.97,108406,41.02,23,11.88,11.53,55.66
379,Mkiriwadjumoi,1766.81,122369,23.36,38,5.96,7.78,50.84
380,Fucheng,1271.56,102236,30.69,18,46.1,4.61,84.73
381,Forshaga,1053.1,157032,55.26,28,3.47,21.29,88.94
382,Cruces,1891.72,237517,25.12,31,44.11,21.83,67.3
383,Mbaïki,1066.59,241814,44.54,23,22.81,7.27,61.65
384,Monte Branco,1730.48,222454,31.34,40,16.96,10.42,65.93
385,Sérvia,1287.92,72991,17.43,26,29.95,3.75,64.98
386,Sukaraja,1314.56,77011,23.72,19,32.68,12.51,57.95
387,Paris 10,1199.44,92349,51.07,37,16.55,7.28,65.44
388,Saintes,1187.27,229650,43.99,21,39.96,21.11,83.57
389,Aubervilliers,1871.43,128147,33.72,23,13.24,22.84,85.43
390,Aix-en-Provence,1633.11,190464,54.62,38,18.35,4.3,71.86
391,Daoxu,1448.14,186363,37.09,21,1.55,20.13,61.3
392,Bugene,1377.18,71943,22.0,35,8.24,13.91,75.69
393,Kítsi,1626.15,131035,33.26,31,15.62,2.36,80.98
394,Cimanggu,1813.7,239655,34.55,36,5.97,9.29,62.42
395,Anilao,1445.87,153683,34.67,35,38.58,18.58,75.04
396,Baibu,1049.32,163035,20.99,20,33.16,21.26,68.86
397,Dunkerque,1060.84,51888,32.88,21,14.01,22.88,53.36
398,Marcos,1157.86,83642,18.62,29,25.16,19.25,74.63
399,Kępice,811.78,191918,56.27,20,13.03,17.95,75.57
400,Novo Selo,1754.33,192795,44.44,26,32.23,17.05,86.83
401,Sairam,1610.89,243054,56.71,22,1.01,11.32,74.04
402,Peso da Régua,1975.43,210431,57.3,20,2.52,15.72,77.56
403,Daveluyville,1096.62,134597,17.5,21,47.13,13.9,82.16
