sl,Area,Rainfall,Population,Groundwater,Temperature,Agricultural,Industrial,Residential
29,Cunningham Road,1956.84,243191,53.74,33,11.26,17.28,58.95
30,Sirsi,1534.13,122944,40.47,26,31.31,22.61,51.08
31,Bantwal,1309.03,112071,18.17,27,15.36,20.98,54.97
32,Ranibennur,906.01,182980,44.93,29,47.19,6.49,50.19
33,Channapatna,1688.04,184838,40.56,26,9.09,3.08,50.24
34,Shahapur,1721.86,115282,43.02,33,32.64,12.03,70.48
35,Ballari,1400.06,122394,51.05,19,33.26,4.74,77.05
36,Siddapur,1172.13,85364,38.72,19,18.14,11.53,74.51
37,Jayanagar,1390.81,229273,35.7,35,16.53,23.73,65.06
38,Bengaluru,1910.42,56326,45.69,24,38.7,5.55,67.11
39,Byatarayanapura,1950.13,150932,37.69,22,44.69,12.61,72.22
40,Choodasandra,1662.97,160063,56.98,31,14.23,16.4,71.68
41,Koramangala,1958.06,224625,49.23,25,33.73,8.28,69.71
42,Magadi,1208.73,173581,43.55,26,35.28,13.76,61.14
43,Maddur,1870.87,193102,49.83,20,4.5,2.37,85.37
44,Mandya,917.22,57422,30.64,34,2.82,17.75,62.6
45,ITPL,1815.43,174124,21.54,19,36.72,19.7,80.47
46,Madikeri,1132.14,124546,58,21,42.29,23.53,53.33
47,Indira Nagar,1720.7,215663,40.58,36,43.98,2.45,55.02
48,HSR Layout,854.58,235108,27.03,23,6.43,7.17,61.91
49,Kudligi,1286.51,209781,55.09,33,35.57,23.51,80.86
50,Chamarajanagar,1379.23,85120,39.79,21,45.97,1.88,85.97
51,Kundgol,972.6,110876,30.8,40,48.86,12.9,85.06
52,Malur,1436.66,111346,59.74,22,9.29,7.41,62.13
53,Mudhol,753.58,91433,31.4,23,46.61,15.3,89.04
54,Cooke Town,1737.21,223380,15.44,33,22.67,11.55,62.97
55,Jakkur,1638.8,239986,36.26,30,2.64,23.06,84.61
56,Chandapura,859.15,115247,18.32,29,7.77,17.91,66.31
57,Chikodi,1083.7,178932,43.05,32,27,22.34,69.08
58,Padmanabhanagar,1064.79,116698,41.58,23,19.56,22.32,85.61
59,Hennur,1081.06,153054,42.07,23,15.7,5.71,59.19
60,Hubballi,1475.36,70633,20.25,37,49.36,9.25,61.17
61,Athani,1911.4,169180,42.35,29,42.67,20.63,54.21
62,Belgaum,1298.65,191573,55.83,39,34.09,24.63,71.33
63,Gundlupet,1563.65,140973,58.4,19,31.51,13.86,79.75
64,Bommasandra,939.82,75912,45.11,25,33.17,10.03,74.04
65,Horamavu,1383.04,69532,38.16,25,43.11,7.64,71.95
66,Gandhi Nagar,1506.08,85166,40.62,19,46.39,2.27,81.9
67,Bagalkot,1691.43,188553,17.21,23,27.45,8.75,50.67
68,Yelahanka,1727.92,228724,27.71,32,23.3,16.54,83.98
69,Yeswanthpur,834.28,217899,46.88,39,17.85,3.17,62.34
70,Kudur,1507.65,216909,45.92,22,22.86,15.5,61.01
71,Nargund,1881.27,113685,34.11,29,48.06,12.96,65.84
72,Yeshwantpur,1926.1,96767,35.44,39,18.83,9.48,77.9
73,KR Puram,1046.98,53164,58.72,31,44.07,20.96,87.12
74,Banaswadi,1185.73,222015,36.85,37,23.52,23.99,71.55
75,Magadi Road,1336.97,170164,41.95,22,8.12,14.63,58.8
76,Puttur,763.99,75961,15.21,30,43.61,14.5,69.28
77,Hoskote,775.32,113057,22.11,32,29,24.42,76.19
78,Mangaluru,1281.18,185944,27.79,18,28.17,2.23,79.1
79,Sindhnur,794.06,248276,31.55,30,30.29,21.97,52.73
80,Vijapur,1857.15,209675,31.44,23,14.83,1.77,62.77
81,Chitradurga,1270.68,176483,15.53,28,23.58,8.17,54.06
82,Narasimharajapura,1683.03,162795,49.58,36,5.44,21.54,56.41
83,Bidar,1002.76,240213,49.89,40,1.03,16.2,70.48
84,BTM Layout,1050.67,129451,30.66,33,4.03,9.94,71.44
85,Kasturi Nagar,1349.5,232026,40.87,22,4.79,7.61,84.79
86,Begur Road,1520.75,54839,24.16,23,45.89,18.22,80.36
87,Dharwad,1916.7,116087,41.83,38,5.38,15.2,63.03
88,Nagarbhavi,1754.96,213110,31.37,39,22.56,14.3,53.84
89,Ejipura,1104.98,206345,17.59,21,26.93,20.06,60.86
90,Robertson Pet,910.27,171094,35.18,20,45.5,22.53,60.37
91,Chikmagalur,1075.69,138801,23.47,23,47.24,12.38,79.5
92,Sorab,1097.09,154155,44.94,28,38.6,6.87,73.64
93,Raybag,1579.49,180335,45.61,38,1.65,10.78,59.62
94,Haliyal,891.94,231162,23.02,28,2.05,13.22,84.89
95,Yadgir,815.57,139053,20.3,21,32.68,13.3,54.42
96,Rajarajeshwari Nagar,1905.59,77059,42.74,35,27.87,23.56,77.21
97,Gulimangala,956.13,91358,23.17,20,4.86,16.23,75.41
98,Peenya,755.05,136065,26.13,36,37.06,14.01,79.05
99,Giri Nagar,1374.52,245207,29.81,25,43.02,15.49,56.94
100,Chamrajpet,1257.02,191476,56.75,26,12.44,15.6,59.1
101,Basaveshwaranagar,723.75,249176,22.12,21,37.75,19.87,74.01
102,Jamkhandi,1668.96,103532,16.02,29,15.65,2.23,63.68
103,Mysuru,1232.85,184710,24.9,21,22.7,21.15,62.1
104,Aland,1974.77,135448,24.99,23,26.29,7.05,64.56
105,Haveri,1583,120388,33.78,34,17.09,9.51,63.16
106,Basavakalyan,1583.56,127203,19.72,31,1.67,13.52,74.08
107,Tumakuru,1262.1,54379,56.86,19,6.9,9.94,79.49
108,Seshadripuram,1001.52,99831,43.56,30,33.65,8.78,78.3
109,Talikota,1341.56,53721,44.83,23,14.59,3.62,60.16
110,Kundapura,1342.61,88025,50.23,31,42.76,19.31,69.83
111,Peenya Industrial Area,1830.1,228705,52.71,21,18.29,6.73,77.4
112,Chintamani,1221.58,53924,49.45,30,8.65,9.93,60.34
113,Kadur,852.86,200253,57,31,6.78,10.85,89.56
114,Bannerghatta Road,1873.36,206760,52.27,22,37.52,4.66,78.23
115,Shivajinagar,1088.16,201766,22.38,35,5.52,21.53,79.16
116,Electronic City,1081.25,167643,49.74,35,18.19,21.32,55.2
117,Bellandur,1310.09,128293,43.81,38,33.59,15.53,69.31
118,Bagalur,1453.63,57568,18.89,35,7.62,22.54,85.91
119,Davangere,1063.23,73896,54.79,20,14.9,16.45,61.56
120,Sira,1618.41,67218,43.88,33,24.92,18.44,89.25
121,Kodagu,757.51,144760,50.9,36,13.2,8,54.07
122,Vijayapura,1697.63,178966,22.35,26,25.91,12.14,72.45
123,Mysore Road,988.95,116784,46.4,23,4.59,18.09,54.13
124,Shivamogga,1654.89,80517,36.04,28,18.32,1.16,79.92
125,Kolar,783.76,94489,42.24,28,24.76,22.52,64.17
126,Mulbagal,1586.66,83324,44.89,29,42.04,11.48,66.65
127,Karwar,1762.86,85007,43.91,22,38.81,17.36,59.51
128,Thanisandra,1823.02,216166,23.66,25,44.43,21.81,57.07
129,Sandur,880.85,200400,51.58,40,15.11,21.03,63.87
130,Hoodi,1238.18,248329,21.14,39,38.93,12.08,60.33
131,Bilekahalli,1082.79,89642,55.15,30,3.3,2.88,67.62
132,Kengeri,1350.66,76484,49.56,24,45.89,13.69,80.75
133,Bommanahalli,1604.31,66515,57.23,40,26.35,1.23,73.81
134,Mundgod,964.03,157913,43.39,18,22.63,23.68,89.19
135,Hiriyur,831.63,187517,49.68,25,14.66,9.21,73.45
136,Hunsur,882.69,182409,40.86,37,26.91,10.7,84.43
137,Tiptur,1553.66,111169,16.45,28,30.75,21.32,82.76
138,Nagamangala,1915.14,179430,51.87,21,16.2,21.59,89.16
139,Savanur,735.55,121235,24.11,30,31.17,1.36,67.61
140,Kalyan Nagar,1600.97,108338,27.87,33,28.72,14.34,74.56
141,Nanjangud,1428.27,61644,45.47,27,16.74,21.48,75.42
142,Basavanagudi,1553.42,76238,51.89,36,10.26,9.26,56.22
143,Holalkere,1239.65,245562,22.26,29,10.96,18.5,78.47
144,Banashankari,834.74,202608,36.81,24,46.52,14.21,71.56
145,Kumaraswamy Layout,1232.33,104508,35.06,22,22.89,10.43,54.07
146,Frazer Town,1788.28,61157,24.79,38,11.36,6.54,56.48
147,Cox Town,775.09,230738,22.95,18,49.9,3.59,85
148,Hosapete,970.72,197094,30.33,37,43.91,23.08,69.58
149,Vasanth Nagar,1445.35,138423,26.56,30,1.59,2.93,74.4
150,Kothanur,1035.16,228760,45.63,22,43.6,14.73,55.43
151,Dasarahalli,1085.16,169459,44.77,29,46.41,3.01,66.53
152,Pattadakal,1216.51,221366,44.27,24,37.53,5.26,86.69
153,Sulya,1659.77,155884,56.02,26,34.45,1.77,77.47
154,Hassan,769.38,58365,57.36,19,26.65,17.5,81.46
155,Nandini Layout,1295.09,87302,20.63,22,33.06,5.12,67
156,Karkala,1692.78,156045,23.6,32,26.07,23.05,54.28
157,HBR Layout,944.2,150520,18.63,35,25.88,11.53,84.79
158,Navalgund,974.75,68146,23.02,39,37.01,20.85,76.13
159,CV Raman Nagar,1964.67,219521,27.44,27,32.37,24.45,63.85
160,Muddebihal,1634.69,101745,37.33,31,17.86,19.14,75.12
161,Airport Road,1301.7,218123,41.87,29,6.2,6.58,72.91
162,Ramanagara,1134.77,182684,28.7,40,5.09,10.1,63.27
163,Koppal,1162.7,134918,28.94,37,40.25,5.98,54.25
164,Davanagere,1005.86,241976,55.69,31,38.58,10.39,62.03
165,Begur,1504.23,172548,44.66,27,40.07,23.26,62.26
166,Gulbarga,1387.79,54271,37.18,28,9.95,11.36,65.5
167,Malleswaram,1296.29,104212,19.05,20,16.9,13.94,62.9
168,Attibele,1703.32,126246,45.41,40,27.84,11.69,69.75
169,Chikkamagaluru,1208.07,159486,22.39,25,28.07,18.11,53
170,Siddapura,1590.01,234586,47.18,39,25.41,3.31,52.36
171,Hebbal,1386.74,162691,33.59,38,43.82,9.76,58.18
172,Rajajinagar,1062.05,234608,34.67,28,44.5,24.05,76.73
173,Shahpur,941.18,167080,51.96,34,44.17,6.07,80.74
174,Marathahalli,1419.57,106972,51.09,38,43.48,12.96,71.77
175,Kudlu,863.87,245636,36.69,18,37.7,21.69,61.54
176,Garvebhavipalya,868.86,152875,22.96,25,11.87,17.87,79.65
177,HRBR Layout,1513.49,57212,46.24,31,14.28,20.22,76.1
178,Beltangadi,1214.79,70030,46.35,24,28.68,4.62,75.94
179,Bengaluru Urban,749.89,157124,45.64,38,24.29,16.04,63.97
180,Pavagada,1435.05,115470,20.28,19,41.81,23.99,51.3
181,JP Nagar,1675.53,171287,44.45,32,34.72,18.18,52.01
182,Lingsugur,784.9,169472,44.27,23,38.54,9.22,73.17
183,Doddathoguru,1414.75,189406,56.37,19,47.15,18.9,80.82
184,Benson Town,1341.24,98397,56.4,18,17.32,24.26,55.1
185,Adyar,1666.4,181879,43.44,37,44.07,10.95,64.2
186,Sindagi,861.78,186564,23.39,21,6.52,4.64,71.45
187,Gottigere,1907.01,234658,32.49,35,9.81,17.46,74.57
188,Sagara,1780.54,151643,19.56,21,19.18,8.11,86.44
189,KR Market,998.14,186479,23.31,29,44.52,9.06,72.06
190,Sedam,1455.89,85272,25.17,26,46.94,21.79,67.49
191,Honnali,1718.93,152488,59.5,32,9.17,24.39,75.54
192,Sarjapur,1510.36,81568,30.11,26,35.93,4.01,82.68
193,Shrirangapattana,1309.08,120278,19.13,36,32.84,5.42,79.56
194,Jigani,1679.75,103624,23.45,24,37.05,14.38,55.05
195,Piriyapatna,1941.81,195924,27.21,37,48.58,17.39,79.32
196,Mahalakshmi Layout,1336.22,119020,25.75,32,12.14,6.92,72.66
197,Hosur Road,1011.43,187204,44.06,40,37.35,20.95,87.34
198,Whitefield,1998.88,51778,42.29,27,20.02,23.12,74.76
199,Girinagar,1616.24,109655,22.74,40,17.66,18.43,88.52
200,Kudlu Gate,861.9,228432,19.25,38,17.43,22.94,72.68
201,Shikaripur,836.38,202040,50.45,28,46.37,24.89,78.31
202,Bagepalli,1774.79,107527,47.79,33,32.07,8.38,66.8
203,Shikaripura,1381.97,53693,41.49,27,26.6,24.92,64.96
204,Sarjapur Road,1195.91,146839,56.12,40,5.04,12.19,72.78
205,Gangavati,761.32,183930,26.33,19,28.87,10.25,69.97
206,Madhugiri,789.89,235631,35.51,38,44.86,22.13,77.85
207,Mangalore,1840.02,199031,28.4,40,20.71,5.38,58.79
208,Ron,1677.01,72434,33.08,28,43.81,11.83,53.77
209,Rajanukunte,1477.23,50756,28.08,37,30.74,22.08,64.43
210,Gadag-Betageri,1637.55,183478,50.23,38,4.78,7.75,81.21
211,Kunigal,973.83,99204,38.01,40,40.17,9.53,68.47
212,Varthur,706.59,163736,35.03,37,40.56,15.1,55.02
213,Belagavi,1758.34,242126,39.27,25,2.31,16.44,76.68
214,Sullia,1893.92,179687,53.44,31,9.78,24.21,60.11
215,Gangavathi,938.4,248015,57.43,21,19.21,1.36,63.36
216,Tekkalakote,1056.23,233365,15.5,37,5.54,14.85,86.1
217,Ulsoor,1889.32,212818,19.12,19,20.39,19.77,74.85
218,Mudigere,720.2,104403,46.15,18,33.2,3.61,80.17
219,Udupi,1659.12,60494,26.37,29,34.13,3.05,87.52
220,Kumta,1189.58,99885,54.4,34,1.97,11.26,68.63
221,Ilyas Nagar,1903.19,146663,30.03,22,15.32,2.48,74.23
222,Jalahalli,1349.05,61404,45.46,34,29,20.95,89.93
223,Sagar,1291.6,221797,32.42,21,8.97,3.06,55.09
224,Sidlaghatta,1276.79,76240,40.43,36,12.48,10.46,57.84
225,Mysore,1690.08,113429,32.28,26,7.97,18.21,57.77
226,Mahadevapura,948.61,214407,51.94,38,17.89,6.3,80.05
227,Anjanapura,1950.56,61739,53.21,27,23.04,18.04,71.95
228,Malavalli,1405.37,225663,47.58,30,4.69,2.65,85.23
